"Japanese","English"
"//Text $1B6D30
#WRITE(ptr,$1918CC)
『疾風』と描かれたバンダナ。[LINE]
衰弱を防止し、回避率を上昇させる。[LINE]
[END]
","//Text $1B6D30
#WRITE(ptr,$1918CC)
A ""Gale"" bandana. Protects[LINE]
wearer against weakness[LINE]
and increases evasion.[END]"
"//Text $1B6D18
#WRITE(ptr,$1918E8)
[Sign_1]滅殺バンダナ[END]
","//Text $1B6D18
#WRITE(ptr,$1918E8)
[Sign_1]Annihilation Bandana[END]
"
"//Text $1B6CD0
#WRITE(ptr,$1918EC)
『滅殺』と描かれたバンダナ。[LINE]
封印を防止し、命中率を上昇させる。[LINE]
[END]
","//Text $1B6CD0
#WRITE(ptr,$1918EC)
An ""Annihilation"" bandana. Protects[LINE]
wearer against seal and increases[LINE]
accuracy.[END]"
"//Text $1B6CB8
#WRITE(ptr,$191908)
[Sign_1]豪傑バンダナ[END]
","//Text $1B6CB8
#WRITE(ptr,$191908)
[Sign_1]Hero Bandana[END]
"
"//Text $1B6C80
#WRITE(ptr,$19190C)
『豪傑』と描かれたバンダナ。[LINE]
攻撃力が大幅に上昇する。[LINE]
[END]
","//Text $1B6C80
#WRITE(ptr,$19190C)
A ""Hero"" bandana. Greatly[LINE]
increases wearer's attack.[LINE]
[END]"
"//Text $1B6C68
#WRITE(ptr,$191928)
[Sign_1]革命バンダナ[END]
","//Text $1B6C68
#WRITE(ptr,$191928)
[Sign_1]Revolution Bandana[END]
"
"//Text $1B6C10
#WRITE(ptr,$19192C)
『革命』と描かれたバンダナ。[LINE]
どんな事でも揺るがない！[LINE]
全ての状態異常を防止する。[END]
","//Text $1B6C10
#WRITE(ptr,$19192C)
A ""Revolution"" bandana. Protects[LINE]
against all ailments. ""Nothing will[LINE] 
shake me!""[END]"
"//Text $1B6BF8
#WRITE(ptr,$191948)
[Sign_1]レッドリボン[END]
","//Text $1B6BF8
#WRITE(ptr,$191948)
[Sign_1]Red Ribbon[END]
"
"//Text $1B6BB0
#WRITE(ptr,$19194C)
真っ赤なシンプルなリボン。[LINE]
女の子の必需品。[LINE]
火属性耐性を付加する。[END]
","//Text $1B6BB0
#WRITE(ptr,$19194C)
A simple red ribbon. A necessity for[LINE]
girls. Increases fire resistance.[LINE]
[END]"
"//Text $1B6B98
#WRITE(ptr,$191968)
[Sign_1]ブルーリボン[END]
","//Text $1B6B98
#WRITE(ptr,$191968)
[Sign_1]Blue Ribbon[END]
"
"//Text $1B6B48
#WRITE(ptr,$19196C)
水色のプリーツ状リボン。[LINE]
ちょっとおしゃまな女の子向け。[LINE]
水属性耐性を付加する。[END]
","//Text $1B6B48
#WRITE(ptr,$19196C)
A light blue pleated ribbon.[LINE]
Made for precocious girls.[LINE]
Increases water resistance.[END]"
"//Text $1B6B30
#WRITE(ptr,$191988)
[Sign_1]オレンジリボン[END]
","//Text $1B6B30
#WRITE(ptr,$191988)
[Sign_1]Orange Ribbon[END]
"
"//Text $1B6AE0
#WRITE(ptr,$19198C)
サテン生地のオレンジリボン。[LINE]
お姉さんに憧れる女の子へ。[LINE]
地属性耐性を付加する。[END]
","//Text $1B6AE0
#WRITE(ptr,$19198C)
An orange satin ribbon. For girls[LINE]
who look up to ladies. Increases[LINE]
earth resistance.[END]"
"//Text $1B6AC8
#WRITE(ptr,$1919A8)
[Sign_1]グリーンリボン[END]
","//Text $1B6AC8
#WRITE(ptr,$1919A8)
[Sign_1]Green Ribbon[END]
"
"//Text $1B6A70
#WRITE(ptr,$1919AC)
南国ちっくな緑のリボン。[LINE]
人とは違った物をつけたい女の子向け。[LINE]
風属性耐性を付加する。[END]
","//Text $1B6A70
#WRITE(ptr,$1919AC)
A tropical green ribbon. For girls[LINE]
who want to become different.[LINE]
Increases wind resistance.[END]
"
"//Text $1B6A58
#WRITE(ptr,$1919C8)
[Sign_1]ホワイトリボン[END]
","//Text $1B6A58
#WRITE(ptr,$1919C8)
[Sign_1]White Ribbon[END]
"
"//Text $1B6A00
#WRITE(ptr,$1919CC)
天使のような羽つきリボン。[LINE]
ワンランク上の女の子になれる！[LINE]
光属性耐性を付加する。[END]
","//Text $1B6A00
#WRITE(ptr,$1919CC)
Ribbon decorated with angel feathers.[LINE]
Wearing it makes a girl look classy![LINE]
Increases light resistance.[END]
"
"//Text $1B69E8
#WRITE(ptr,$1919E8)
[Sign_1]ブラックリボン[END]
","//Text $1B69E8
#WRITE(ptr,$1919E8)
[Sign_1]Black Ribbon[END]
"
"//Text $1B6998
#WRITE(ptr,$1919EC)
神秘的な黒いリボン。[LINE]
大人の女性も越えたいあなたへ。[LINE]
闇属性耐性を付加する。[END]
","//Text $1B6998
#WRITE(ptr,$1919EC)
A mysterious black ribbon. For those[LINE]
who want to surpass adult women.[LINE]
Increases dark resistance.[END]"
"//Text $1B6980
#WRITE(ptr,$191A08)
[Sign_1]ウィアードリボン[END]
","//Text $1B6980
#WRITE(ptr,$191A08)
[Sign_1]Weird Ribbon[END]
"
"//Text $1B6920
#WRITE(ptr,$191A0C)
子供だけが身に付けられるリボン。[LINE]
愛と夢と希望がいっぱい。[LINE]
高ぶる気持ちでいっぱい動ける。[END]
","//Text $1B6920
#WRITE(ptr,$191A0C)
A ribbon for children. Filled with[LINE]
love, hopes, and dreams. Allows[LINE]
one to move excitedly.[END]"
"//Text $1B6908
#WRITE(ptr,$191A28)
[Sign_1]フェザーハット[END]
","//Text $1B6908
#WRITE(ptr,$191A28)
[Sign_1]Feather Hat[END]
"
"//Text $1B68B0
#WRITE(ptr,$191A2C)
大きな羽を飾りにつけた帽子。[LINE]
洒落た帽子でワンランク上の男を[LINE]
目指す。それがジョニー流。[END]
","//Text $1B68B0
#WRITE(ptr,$191A2C)
A hat with a large feather for decoration.[LINE]
decoration. Aiming to be classy with a[LINE]
stylish hat. That's [Johnny]'s style.[END]
"
"//Text $1B6898
#WRITE(ptr,$191A48)
[Sign_1]アクレイムハット[END]
","//Text $1B6898
#WRITE(ptr,$191A48)
[Sign_1]Acclaim Hat[END]
"
"//Text $1B6838
#WRITE(ptr,$191A4C)
強者のみが被ることを許される。[LINE]
被れば称賛を浴びること間違いなし。[LINE]
火属性の攻撃属性を付加する。[END]
","//Text $1B6838
#WRITE(ptr,$191A4C)
Only the strong are allowed to wear[LINE]
it. With it, you're sure to be admired.[LINE]
Imbues attacks with fire.[END]
"
"//Text $1B6820
#WRITE(ptr,$191A68)
[Sign_1]エグザイルハット[END]
","//Text $1B6820
#WRITE(ptr,$191A68)
[Sign_1]Exile Hat[END]
"
"//Text $1B67B8
#WRITE(ptr,$191A6C)
世界を旅する冒険家が被っていたと[LINE]
言われている帽子。放浪癖がつきます。[LINE]
地属性の攻撃属性を付加する。[END]
","//Text $1B67B8
#WRITE(ptr,$191A6C)
This hat is said to be worn by adventurers[LINE]
traveling the world. It gives you wanderlust.[LINE]
Imbues attacks with earth.[END]
"
"//Text $1B67A0
#WRITE(ptr,$191A88)
[Sign_1]ハッピーハット[END]
","//Text $1B67A0
#WRITE(ptr,$191A88)
[Sign_1]Happy Hat[END]
"
"//Text $1B6738
#WRITE(ptr,$191A8C)
老いた魔術師が、帽子が風に飛ば[LINE]
されないように作った帽子。それが幸せ。[LINE]
風属性の攻撃属性を付加する。[END]
","//Text $1B6738
#WRITE(ptr,$191A8C)
A sorcerer made this hat so it won't[LINE]
be blown away by the wind. That's[LINE]
happiness. Imbues attacks with wind.[END]
"
"//Text $1B6720
#WRITE(ptr,$191AA8)
[Sign_1]ストリークハット[END]
","//Text $1B6720
#WRITE(ptr,$191AA8)
[Sign_1]Streaked Hat[END]
"
"//Text $1B66C0
#WRITE(ptr,$191AAC)
常に謎と戦う探求者のための帽子。[LINE]
答えを導くと頭の上に何かが出る。[LINE]
水属性の攻撃属性を付加する。[END]
","//Text $1B66C0
#WRITE(ptr,$191AAC)
A hat for a seeker of mysteries. A sign[LINE]
pops up above your head when you find[LINE]
the answer. Imbues attacks with water.[END]
"
"//Text $1B66A8
#WRITE(ptr,$191AC8)
[Sign_1]シンガーハット[END]
","//Text $1B66A8
#WRITE(ptr,$191AC8)
[Sign_1]Singer Hat[END]
"
"//Text $1B6648
#WRITE(ptr,$191ACC)
かつて「天使の合唱団」と呼ばれた[LINE]
聖歌隊が被っていた由緒ある帽子。[LINE]
光属性の攻撃属性を付加する。[END]
","//Text $1B6648
#WRITE(ptr,$191ACC)
A historic hat once worn by the[LINE]
choir known as ""Angel's Choir"".[LINE]
Imbues attacks with light.[END]
"
"//Text $1B6630
#WRITE(ptr,$191AE8)
[Sign_1]シャイフハット[END]
","//Text $1B6630
#WRITE(ptr,$191AE8)
[Sign_1]Sheikh Hat[END]
"
"//Text $1B65D0
#WRITE(ptr,$191AEC)
その声は、混沌で眠る不死の王をも[LINE]
魅了する。伝説に残る詩人の帽子。[LINE]
闇属性の攻撃属性を付加する。[END]
","//Text $1B65D0
#WRITE(ptr,$191AEC)
The hat of a legendary poet. His voice[LINE]
enchants even the sleeping kings. Imbues[LINE]
attacks with dark.[END]
"
"//Text $1B65B8
#WRITE(ptr,$191B08)
[Sign_1]レプリカベルト[END]
","//Text $1B65B8
#WRITE(ptr,$191B08)
[Sign_1]Replica Belt[END]
"
"//Text $1B6560
#WRITE(ptr,$191B0C)
街を離れるため返還した[LINE]
チャンピオンベルトのレプリカ。[LINE]
また取り戻しゃーいいのよ！[END]
","//Text $1B6560
#WRITE(ptr,$191B0C)
A replica of the Champion's belt. He[LINE]
turned the original in when he left[LINE]
the city. We can get it back again![END]
"
"//Text $1B6548
#WRITE(ptr,$191B28)
[Sign_1]フライベルト[END]
","//Text $1B6548
#WRITE(ptr,$191B28)
[Sign_1]Fly Belt[END]
"
"//Text $1B6508
#WRITE(ptr,$191B2C)
闘技場フライ級を制覇した証。[LINE]
通常攻撃にダウン効果が少しつく。[LINE]
[END]
","//Text $1B6508
#WRITE(ptr,$191B2C)
Proof one has conquered the arena's[LINE]
flyweight division. Normal attacks have[LINE]
a low chance of downing foes.[END]
"
"//Text $1B64F0
#WRITE(ptr,$191B48)
[Sign_1]バンタムベルト[END]
","//Text $1B64F0
#WRITE(ptr,$191B48)
[Sign_1]Bantam Belt[END]
"
"//Text $1B64A8
#WRITE(ptr,$191B4C)
闘技場バンタム級を制覇した証。[LINE]
通常攻撃にダウン効果がそこそこつく。[LINE]
[END]
","//Text $1B64A8
#WRITE(ptr,$191B4C)
Proof of having conquered the arena's[LINE]
heavyweight division. Normal attacks[LINE]
have a slight chance of downing foes.[END]
"
"//Text $1B6490
#WRITE(ptr,$191B68)
[Sign_1]ライトベルト[END]
","//Text $1B6490
#WRITE(ptr,$191B68)
[Sign_1]Light Belt[END]
"
"//Text $1B6448
#WRITE(ptr,$191B6C)
闘技場ライト級を制覇した証。[LINE]
通常攻撃にダウン効果がだいぶつく。[LINE]
[END]
","//Text $1B6448
#WRITE(ptr,$191B6C)
Proof of conquering the arena's lightweight[LINE]
division. Normal attacks have a increased[LINE]
chance of downing foes.[END]
"
"//Text $1B6430
#WRITE(ptr,$191B88)
[Sign_1]ミドルベルト[END]
","//Text $1B6430
#WRITE(ptr,$191B88)
[Sign_1]Middle Belt[END]
"
"//Text $1B63E8
#WRITE(ptr,$191B8C)
闘技場ミドル級を制覇した証。[LINE]
通常攻撃にダウン効果がけっこうつく。[LINE]
[END]
","//Text $1B63E8
#WRITE(ptr,$191B8C)
Proof of conquering the arena's middleweight[LINE]
division. Normal attacks have a high chance[LINE]
of downing foes.[END]
"
"//Text $1B63D0
#WRITE(ptr,$191BA8)
[Sign_1]ヘビーベルト[END]
","//Text $1B63D0
#WRITE(ptr,$191BA8)
[Sign_1]Heavy Belt[END]
"
"//Text $1B6388
#WRITE(ptr,$191BAC)
闘技場ヘビー級を制覇した証。[LINE]
通常攻撃にダウン効果がかなりつく。[LINE]
[END]
","//Text $1B6388
#WRITE(ptr,$191BAC)
Proof of conquering the arena's heavyweight[LINE]
division. Normal attacks have a significant[LINE]
chance of downing foes.[END]
"
"//Text $1B6370
#WRITE(ptr,$191BC8)
[Sign_1]チャンピオンベルト[END]
","//Text $1B6370
#WRITE(ptr,$191BC8)
[Sign_1]Champion Belt[END]
"
"//Text $1B6328
#WRITE(ptr,$191BCC)
闘技場を制覇した者に贈られる[LINE]
最強の証！[LINE]
不屈の闘志でピンチを跳ね返す！[END]
","//Text $1B6328
#WRITE(ptr,$191BCC)
The greatest proof for those who have[LINE]
conquered the arena! Rebound back[LINE]
when in a pinch with your spirit![END]
"
"//Text $1B6310
#WRITE(ptr,$191BE8)
[Sign_1]セインガルドベルト[END]
","//Text $1B6310
#WRITE(ptr,$191BE8)
[Sign_1]Seinegald Belt[END]
"
"//Text $1B62D8
#WRITE(ptr,$191BEC)
セインガルド地方に生息する[LINE]
モンスターを制覇した証！[LINE]
[END]
","//Text $1B62D8
#WRITE(ptr,$191BEC)
Proof you conquered all monsters[LINE]
in the Seinegald region![LINE]
[END]
"
"//Text $1B62B8
#WRITE(ptr,$191C08)
[Sign_1]フィッツガルドベルト[END]
","//Text $1B62B8
#WRITE(ptr,$191C08)
[Sign_1]Fitzgald Belt[END]
"
"//Text $1B6280
#WRITE(ptr,$191C0C)
フィッツガルド地方に生息する[LINE]
モンスターを制覇した証！[LINE]
[END]
","//Text $1B6280
#WRITE(ptr,$191C0C)
Proof you conquered all monsters[LINE]
in the Fitzgald region![LINE]
[END]
"
"//Text $1B6268
#WRITE(ptr,$191C28)
[Sign_1]カルバレイスベルト[END]
","//Text $1B6268
#WRITE(ptr,$191C28)
[Sign_1]Calvalese Belt[END]
"
"//Text $1B6230
#WRITE(ptr,$191C2C)
カルバレイス地方に生息する[LINE]
モンスターを制覇した証！[LINE]
[END]
","//Text $1B6230
#WRITE(ptr,$191C2C)
Proof you conquered all monsters[LINE]
in the Calvalese region![LINE]
[END]
"
"//Text $1B6210
#WRITE(ptr,$191C48)
[Sign_1]アクアヴェイルベルト[END]
","//Text $1B6210
#WRITE(ptr,$191C48)
[Sign_1]Aquaveil Belt[END]
"
"//Text $1B61D8
#WRITE(ptr,$191C4C)
アクアヴェイル地方に生息する[LINE]
モンスターを制覇した証！[LINE]
[END]
","//Text $1B61D8
#WRITE(ptr,$191C4C)
Proof you conquered all monsters[LINE]
in the Aquaveil region![LINE]
[END]
"
"//Text $1B61C0
#WRITE(ptr,$191C68)
[Sign_1]ファンダリアベルト[END]
","//Text $1B61C0
#WRITE(ptr,$191C68)
[Sign_1]Phandaria Belt[END]
"
"//Text $1B6188
#WRITE(ptr,$191C6C)
ファンダリア地方に生息する[LINE]
モンスターを制覇した証！[LINE]
[END]
","//Text $1B6188
#WRITE(ptr,$191C6C)
Proof you conquered all monsters[LINE]
in the Phandaria region![LINE]
[END]
"
"//Text $1B6168
#WRITE(ptr,$191C88)
[Sign_1]Ｗチャンピオンベルト[END]
","//Text $1B6168
#WRITE(ptr,$191C88)
[Sign_1]World Champion Belt[END]
"
"//Text $1B6118
#WRITE(ptr,$191C8C)
全世界のモンスターを制覇した[LINE]
チャンピオンの証！[LINE]
どんなことにも屈しなくなる。[END]
","//Text $1B6118
#WRITE(ptr,$191C8C)
The sign of a champion who has[LINE]
conquered every monster! You[LINE]
will never yield to any challenge.[END]
"
"//Text $1B6108
#WRITE(ptr,$191CA8)
[Sign_1]すいか[END]
","//Text $1B6108
#WRITE(ptr,$191CA8)
[Sign_1]Watermelon[END]
"
"//Text $1B60B8
#WRITE(ptr,$191CAC)
砂漠では水の供給源ともなるすいか。[LINE]
昔は種も食用として扱われていたとか……[LINE]
[END]
","//Text $1B60B8
#WRITE(ptr,$191CAC)
It is another source of water in the[LINE]
desert. In the past, its seeds were[LINE]
considered edible.[END]
"
"//Text $1B60A0
#WRITE(ptr,$191CC8)
[Sign_1]鉄のフライパン[END]
","//Text $1B60A0
#WRITE(ptr,$191CC8)
[Sign_1]Iron Frypan[END]
"
"//Text $1B6068
#WRITE(ptr,$191CCC)
鉄で作られたフライパン。[LINE]
使い込むほど味が出る。[LINE]
[END]
","//Text $1B6068
#WRITE(ptr,$191CCC)
A frying pan made of iron.[LINE]
The more you use it, the[LINE]
better the flavor.[END]
"
"//Text $1B6050
#WRITE(ptr,$191CE8)
[Sign_1]銅のフライパン[END]
","//Text $1B6050
#WRITE(ptr,$191CE8)
[Sign_1]Copper Frypan[END]
"
"//Text $1B6008
#WRITE(ptr,$191CEC)
銅で作られたフライパン。[LINE]
熱伝導がすばらしい。[LINE]
料理時間が短縮されます。[END]
","//Text $1B6008
#WRITE(ptr,$191CEC)
A frying pan made of copper.[LINE]
It has great heat conduction[LINE]
and reduces cooking time.[END]
"
"//Text $1B5FF0
#WRITE(ptr,$191D08)
[Sign_1]銀のフライパン[END]
","//Text $1B5FF0
#WRITE(ptr,$191D08)
[Sign_1]Silver Frypan[END]
"
"//Text $1B5FA0
#WRITE(ptr,$191D0C)
銀で作られたフライパン。[LINE]
白い輝きが美しい。[LINE]
焦がしてしまうのがもったいない。[END]
","//Text $1B5FA0
#WRITE(ptr,$191D0C)
A frying pan made of silver.[LINE]
Has a beautiful white shine.[LINE]
It's a pity it will be burned.[END]
"
"//Text $1B5F88
#WRITE(ptr,$191D28)
[Sign_1]金のフライパン[END]
","//Text $1B5F88
#WRITE(ptr,$191D28)
[Sign_1]Gold Frypan[END]
"
"//Text $1B5F30
#WRITE(ptr,$191D2C)
金で作られたフライパン。[LINE]
別名「豪華なフライパン」。[LINE]
これであなたも王族専属シェフ。[END]
","//Text $1B5F30
#WRITE(ptr,$191D2C)
A frying pan made of gold. Also known as[LINE]
the ""Gorgeous Frying Pan"". Now you too[LINE]
can be the royal family's personal chef.[END]
"
"//Text $1B5F20
#WRITE(ptr,$191D48)
[Sign_1]かぶ[END]
","//Text $1B5F20
#WRITE(ptr,$191D48)
[Sign_1]Turnip[END]
"
"//Text $1B5ED8
#WRITE(ptr,$191D4C)
非常に古くから栽培されている野菜。[LINE]
漬物にして食べるのが一般的。[LINE]
[END]
","//Text $1B5ED8
#WRITE(ptr,$191D4C)
A vegetable that has been cultivated[LINE]
for a very long time. Commonly eaten[LINE]
pickled as a side dish.[END]
"
