"Japanese","English"
"//Text $1B49C8
#WRITE(ptr,$18FFDC)
[Sign_Shield]ゴールドウェア[END]
","//Text $1B49C8
#WRITE(ptr,$18FFDC)
[Sign_Shield]Gold Tunic[END]
"
"//Text $1B4990
#WRITE(ptr,$18FFE0)
金細工で装飾した男性用衣装。[LINE]
別名「豪華な衣装」。[LINE]
[END]
","//Text $1B4990
#WRITE(ptr,$18FFE0)
A man's garment decorated with gold.[LINE]
Also known as the ""Opulent Wear.""[LINE]
[END]"
"//Text $1B4978
#WRITE(ptr,$190018)
[Sign_Shield]ミスリルウェア[END]
","//Text $1B4978
#WRITE(ptr,$190018)
[Sign_Shield]Mithril Tunic[END]
"
"//Text $1B4930
#WRITE(ptr,$19001C)
ミスリルで装飾した男性用衣装。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B4930
#WRITE(ptr,$19001C)
A man's garment decorated with Mithril.[LINE]
Considered to be a Dwarven work of art.[LINE]
[END]"
"//Text $1B4918
#WRITE(ptr,$190054)
[Sign_Shield]ブレストウェア[END]
","//Text $1B4918
#WRITE(ptr,$190054)
[Sign_Shield]Breast Tunic[END]
"
"//Text $1B48D0
#WRITE(ptr,$190058)
胸部の防御が強化されている衣装。[LINE]
防御力は高いが、[LINE]
バランスがやや悪い。[END]
","//Text $1B48D0
#WRITE(ptr,$190058)
A man's garment with enhanced chest[LINE]
protection. Maintains a high defense,[LINE]
but has rather poor balance.[END]"
"//Text $1B48B8
#WRITE(ptr,$190090)
[Sign_Shield]ホワイトウェア[END]
","//Text $1B48B8
#WRITE(ptr,$190090)
[Sign_Shield]White Tunic[END]
"
"//Text $1B4860
#WRITE(ptr,$190094)
白く美しい男性用衣装。[LINE]
祭儀用に使われる神聖な衣。[LINE]
光の加護を受けると言われている。[END]
","//Text $1B4860
#WRITE(ptr,$190094)
A man's beautiful white garment. Holy[LINE]
clothes used in rituals. Said to hold[LINE]
the divine protection of light.[END]"
"//Text $1B4848
#WRITE(ptr,$1900CC)
[Sign_Shield]ナイツウェア[END]
","//Text $1B4848
#WRITE(ptr,$1900CC)
[Sign_Shield]Knight Tunic[END]
"
"//Text $1B47F0
#WRITE(ptr,$1900D0)
王国騎士団御用達の男性用衣装。[LINE]
簡素な作りに見えるが、[LINE]
とても頑強な作りになっている。[END]
","//Text $1B47F0
#WRITE(ptr,$1900D0)
Garment used by Royal[LINE]
Knights. Looks plainly[LINE]
made, but is very sturdy.[END]"
"//Text $1B47D8
#WRITE(ptr,$190108)
[Sign_Shield]バトルウェア[END]
","//Text $1B47D8
#WRITE(ptr,$190108)
[Sign_Shield]Battle Tunic[END]
"
"//Text $1B4780
#WRITE(ptr,$19010C)
戦闘用に特化した男性用衣装。[LINE]
機能性重視で作られたため、[LINE]
とても丈夫で動きやすい。[END]
","//Text $1B4780
#WRITE(ptr,$19010C)
Garment made specially for[LINE]
combat. Made for functionality.[LINE]
Sturdy and easy to move in.[END]"
"//Text $1B4770
#WRITE(ptr,$190144)
[Sign_Shield]レアウェア[END]
","//Text $1B4770
#WRITE(ptr,$190144)
[Sign_Shield]Rare Tunic[END]
"
"//Text $1B5880
#WRITE(ptr,$190148)
名工ギースの魂のこもった[LINE]
無二の傑作。[LINE]
きわめて希少価値が高い。[END]
","//Text $1B5880
#WRITE(ptr,$190148)
Masterpiece imbued with[LINE]
the soul of Giese.[LINE]
Extremely valuable.[END]"
"//Text $1B4758
#WRITE(ptr,$190180)
[Sign_Shield]ホーリィウェア[END]
","//Text $1B4758
#WRITE(ptr,$190180)
[Sign_Shield]Holy Tunic[END]
"
"//Text $1B46F0
#WRITE(ptr,$190184)
聖なる力に祝福された男性用衣装。[LINE]
聖なる加護に守られたその衣装は、[LINE]
身に付ける者の命を守るという。[END]
","//Text $1B46F0
#WRITE(ptr,$190184)
Garment blessed by[LINE]
holy powers. Protects[LINE]
the life of its wearers.[END]"
"//Text $1B46D8
#WRITE(ptr,$1901BC)
[Sign_Shield]ブラックウェア[END]
","//Text $1B46D8
#WRITE(ptr,$1901BC)
[Sign_Shield]Black Tunic[END]
"
"//Text $1B4678
#WRITE(ptr,$1901C0)
黒生地に銀刺繍の美しい衣装。[LINE]
祭儀用に使われる神聖な衣。[LINE]
闇の加護を受けると言われている。[END]
","//Text $1B4678
#WRITE(ptr,$1901C0)
Black garment lined with silver.[LINE]
Holy clothes used in rituals.[LINE]
Said to be imbued with dark powers.[END]
"
"//Text $1B4660
#WRITE(ptr,$1901F8)
[Sign_Shield]ゴシックウェア[END]
","//Text $1B4660
#WRITE(ptr,$1901F8)
[Sign_Shield]Gothic Tunic[END]
"
"//Text $1B4618
#WRITE(ptr,$1901FC)
簡素で典雅な造りの男性用衣装。[LINE]
過去に興った美術様式を汲んだ[LINE]
作品。[END]
","//Text $1B4618
#WRITE(ptr,$1901FC)
A simple, but elegant garment.[LINE]
Its beautiful style draws inspiration[LINE]
from a bygone era.[END]
"
"//Text $1B4600
#WRITE(ptr,$190234)
[Sign_Shield]ドラゴンウェア[END]
","//Text $1B4600
#WRITE(ptr,$190234)
[Sign_Shield]Dragon Tunic[END]
"
"//Text $1B45B0
#WRITE(ptr,$190238)
ドラゴンの鱗で強化した衣装。[LINE]
ドラゴンの鋭い爪から身を守り、[LINE]
吐く炎をも遮る。[END]
","//Text $1B45B0
#WRITE(ptr,$190238)
Garment strengthened with dragon[LINE]
scales. Protects against a dragon's[LINE]
sharp claws and fiery breath.[END]
"
"//Text $1B4598
#WRITE(ptr,$190270)
[Sign_Shield]グリムウェア[END]
","//Text $1B4598
#WRITE(ptr,$190270)
[Sign_Shield]Grimm Tunic[END]
"
"//Text $1B4540
#WRITE(ptr,$190274)
伝説に登場する幻想の力を秘めた[LINE]
男性用衣装。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B4540
#WRITE(ptr,$190274)
Garment imbued with the hidden power of[LINE]
fantasies. Named after the brothers[LINE]
who collected oral traditions into a book.[END]
"
"//Text $1B4528
#WRITE(ptr,$1902AC)
[Sign_Shield]デュアリティ[END]
","//Text $1B4528
#WRITE(ptr,$1902AC)
[Sign_Shield]Duality[END]
"
"//Text $1B44D0
#WRITE(ptr,$1902B0)
二重構造の男性用衣装。[LINE]
衝撃から身を守るだけではなく、[LINE]
あらゆる毒からも身を守る。[END]
","//Text $1B44D0
#WRITE(ptr,$1902B0)
Garment with a double structure.[LINE]
Not only does it protect against[LINE]
impacts but also all poisons.[END]"
"//Text $1B44B8
#WRITE(ptr,$1902E8)
[Sign_Shield]クラウネリィー[END]
","//Text $1B44B8
#WRITE(ptr,$1902E8)
[Sign_Shield]Clownerie[END]
"
"//Text $1B4460
#WRITE(ptr,$1902EC)
道化の名を冠した男性用衣装。[LINE]
その昔、笑いで世界を救おうと[LINE]
旅をした道化人の衣装。[END]
","//Text $1B4460
#WRITE(ptr,$1902EC)
Garment named after clowns.[LINE]
Used by a group of traveling clowns[LINE]
who saved the world with laughter.[END]"
"//Text $1B4448
#WRITE(ptr,$190324)
[Sign_Shield]ヴァーミリオン[END]
","//Text $1B4448
#WRITE(ptr,$190324)
[Sign_Shield]Vermillion[END]
"
"//Text $1B4400
#WRITE(ptr,$190328)
美しい朱色の紋章入りの衣装。[LINE]
朱色が血のようにも見える[LINE]
怪しげな服。[END]
","//Text $1B4400
#WRITE(ptr,$190328)
Garment sporting a beautiful[LINE]
scarlet crest. Suspicious[LINE]
clothes red as blood.[END]"
"//Text $1B43E8
#WRITE(ptr,$190360)
[Sign_Shield]エグゼキュータント[END]
","//Text $1B43E8
#WRITE(ptr,$190360)
[Sign_Shield]Executant[END]
"
"//Text $1B4388
#WRITE(ptr,$190364)
演奏者の名を冠する男性用衣装。[LINE]
演奏者の邪魔にならないように[LINE]
衣擦れの音はまったくしない。[END]
","//Text $1B4388
#WRITE(ptr,$190364)
Garment named after actors.[LINE]
Does not bother performers[LINE]
as it makes no rustling sounds.[END]"
"//Text $1B4378
#WRITE(ptr,$19039C)
[Sign_Shield]ミスウェア[END]
","//Text $1B4378
#WRITE(ptr,$19039C)
[Sign_Shield]Myth Tunic[END]
"
"//Text $1B4318
#WRITE(ptr,$1903A0)
「伝説」を意味する男性用衣装。[LINE]
身に纏った者は英雄と謳われる。[LINE]
選ばれた者のみが手にできる。[END]
","//Text $1B4318
#WRITE(ptr,$1903A0)
Garment that carries the meaning of ""Myths"".[LINE]
Its wearers are celebrated as heroes. Can[LINE]
only be acquired by the chosen ones.[END]"
"//Text $1B4300
#WRITE(ptr,$1903D8)
[Sign_Shield]レザークローク[END]
","//Text $1B4300
#WRITE(ptr,$1903D8)
[Sign_Shield]Leather Cloak[END]
"
"//Text $1B42B0
#WRITE(ptr,$1903DC)
革製のクローク。[LINE]
軽くてそこそこ丈夫なため、[LINE]
女性の冒険者に愛用されている。[END]
","//Text $1B42B0
#WRITE(ptr,$1903DC)
Favored by female adventurers[LINE]
due to its lightness and fair[LINE]
protection.[END]"
"//Text $1B4298
#WRITE(ptr,$190414)
[Sign_Shield]ホワイトクローク[END]
","//Text $1B4298
#WRITE(ptr,$190414)
[Sign_Shield]White Cloak[END]
"
"//Text $1B4258
#WRITE(ptr,$190418)
白い布地であしらえたクローク。[LINE]
清楚なスタイルで街娘にも人気。[LINE]
[END]
","//Text $1B4258
#WRITE(ptr,$190418)
Cloak decorated with white[LINE]
cloth. Its tidy style is popular[LINE]
with city girls.[END]"
"//Text $1B4240
#WRITE(ptr,$190450)
[Sign_Shield]フェザークローク[END]
","//Text $1B4240
#WRITE(ptr,$190450)
[Sign_Shield]Feather Cloak[END]
"
"//Text $1B4208
#WRITE(ptr,$190454)
水鳥の羽毛で縫製されたクローク。[LINE]
羽のように軽い。[LINE]
[END]
","//Text $1B4208
#WRITE(ptr,$190454)
Cloak sewn with the feathers of[LINE]
a waterfowl. Light as a feather.[LINE]
[END]"
"//Text $1B41F0
#WRITE(ptr,$19048C)
[Sign_Shield]ブラッククローク[END]
","//Text $1B41F0
#WRITE(ptr,$19048C)
[Sign_Shield]Black Cloak[END]
"
"//Text $1B41B0
#WRITE(ptr,$190490)
黒い布地であしらえたクローク。[LINE]
夜遊びする街娘にも人気な一品。[LINE]
[END]
","//Text $1B41B0
#WRITE(ptr,$190490)
Cloak decorated with black[LINE]
cloth. Popular with partying[LINE]
city girls.[END]"
"//Text $1B4198
#WRITE(ptr,$1904C8)
[Sign_Shield]シルククローク[END]
","//Text $1B4198
#WRITE(ptr,$1904C8)
[Sign_Shield]Silk Cloak[END]
"
"//Text $1B4150
#WRITE(ptr,$1904CC)
絹で縫製されたクローク。[LINE]
光沢が美しく、滑らかな肌触りで[LINE]
着心地も良い。[END]
","//Text $1B4150
#WRITE(ptr,$1904CC)
Cloak sewn with silk. It[LINE]
has a pretty luster and[LINE]
feels nice to the touch.[END]"
"//Text $1B4138
#WRITE(ptr,$190504)
[Sign_Shield]シルバークローク[END]
","//Text $1B4138
#WRITE(ptr,$190504)
[Sign_Shield]Silver Cloak[END]
"
"//Text $1B4100
#WRITE(ptr,$190508)
銀細工で装飾されたクローク。[LINE]
白い輝きが美しい。[LINE]
[END]
","//Text $1B4100
#WRITE(ptr,$190508)
Robe decorated with[LINE]
silver. Has a beautiful[LINE]
white brilliance.[END]"
"//Text $1B40E8
#WRITE(ptr,$190540)
[Sign_Shield]ゴールドクローク[END]
","//Text $1B40E8
#WRITE(ptr,$190540)
[Sign_Shield]Gold Cloak[END]
"
"//Text $1B40B0
#WRITE(ptr,$190544)
金細工で装飾されたクローク。[LINE]
別名「豪華なクローク」。[LINE]
[END]
","//Text $1B40B0
#WRITE(ptr,$190544)
Cloak decorated with gold.[LINE]
Also known as the ""Opulent[LINE]
Cloak.""[END]
"
"//Text $1B4098
#WRITE(ptr,$19057C)
[Sign_Shield]ミスリルクローク[END]
","//Text $1B4098
#WRITE(ptr,$19057C)
[Sign_Shield]Mithril Cloak[END]
"
"//Text $1B4050
#WRITE(ptr,$190580)
ミスリル細工装飾されたクローク。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B4050
#WRITE(ptr,$190580)
Cloak decorated with[LINE]
Mithril. Considered to be[LINE]
a Dwarven work of art.[END]
"
"//Text $1B4038
#WRITE(ptr,$1905B8)
[Sign_Shield]メッシュクローク[END]
","//Text $1B4038
#WRITE(ptr,$1905B8)
[Sign_Shield]Mesh Cloak[END]
"
"//Text $1B3FF8
#WRITE(ptr,$1905BC)
網目状に編んだクローク。[LINE]
通気性が良く、[LINE]
軽い作りになっている。[END]
","//Text $1B3FF8
#WRITE(ptr,$1905BC)
Cloak knit with a mesh[LINE]
pattern. Made to be light and[LINE]
have good permeability.[END]"
"//Text $1B3FE0
#WRITE(ptr,$1905F4)
[Sign_Shield]メイジクローク[END]
","//Text $1B3FE0
#WRITE(ptr,$1905F4)
[Sign_Shield]Mage Cloak[END]
"
"//Text $1B3FA0
#WRITE(ptr,$1905F8)
術士のために作られたクローク。[LINE]
身に付けた者の精神力を高める。[LINE]
[END]
","//Text $1B3FA0
#WRITE(ptr,$1905F8)
Cloak made for mages.[LINE]
Increases the willpower[LINE]
of its wearers.[END]"
"//Text $1B3F88
#WRITE(ptr,$190630)
[Sign_Shield]ファンシークローク[END]
","//Text $1B3F88
#WRITE(ptr,$190630)
[Sign_Shield]Fancy Cloak[END]
"
"//Text $1B3F38
#WRITE(ptr,$190634)
可愛さを追求したクローク。[LINE]
ふわふわなピンクのスカートは、[LINE]
女の子の憧れ。[END]
","//Text $1B3F38
#WRITE(ptr,$190634)
Cloak for those pursuing[LINE]
cuteness. Its fluffy skirt is[LINE]
admired by girls everywhere.[END]"
"//Text $1B3F20
#WRITE(ptr,$19066C)
[Sign_Shield]ムーンクローク[END]
","//Text $1B3F20
#WRITE(ptr,$19066C)
[Sign_Shield]Moon Cloak[END]
"
"//Text $1B3EE0
#WRITE(ptr,$190670)
月夜を意匠して作られたクローク。[LINE]
聖なる月の力が宿っている。[LINE]
[END]
","//Text $1B3EE0
#WRITE(ptr,$190670)
Cloak designed after a[LINE]
moonlit night. Endowed with[LINE]
the moon's holy power.[END]"
"//Text $1B3EC8
#WRITE(ptr,$1906A8)
[Sign_Shield]スタークローク[END]
","//Text $1B3EC8
#WRITE(ptr,$1906A8)
[Sign_Shield]Star Cloak[END]
"
"//Text $1B3E78
#WRITE(ptr,$1906AC)
星を意匠して作られたクローク。[LINE]
流星のように速く動ける。[LINE]
と、宣伝されている。[END]
","//Text $1B3E78
#WRITE(ptr,$1906AC)
Cloak designed after a star. Allows[LINE]
one to move as fast as a falling[LINE]
star. Or so it is advertised.[END]"
"//Text $1B3E58
#WRITE(ptr,$1906E4)
[Sign_Shield]ウォーロッククローク[END]
","//Text $1B3E58
#WRITE(ptr,$1906E4)
[Sign_Shield]Warlock Cloak[END]
"
"//Text $1B3E00
#WRITE(ptr,$1906E8)
熟練の術士のためのクローク。[LINE]
精神力を高めるだけではなく、[LINE]
身を守ることにも長けている。[END]
","//Text $1B3E00
#WRITE(ptr,$1906E8)
Cloak made for skilled mages.[LINE]
Not only does it raise one's [LINE]
willpower but also their defenses.[END]"
"//Text $1B3DE8
#WRITE(ptr,$190720)
[Sign_Shield]スピリットクローク[END]
","//Text $1B3DE8
#WRITE(ptr,$190720)
[Sign_Shield]Spirit Cloak[END]
"
"//Text $1B3DA0
#WRITE(ptr,$190724)
霊的な加護が施されたクローク。[LINE]
身に付けた者に不屈の精神を与える。[LINE]
[END]
","//Text $1B3DA0
#WRITE(ptr,$190724)
Cloak that imbues one with[LINE]
spiritual protection. Gives[LINE]
its wearers mental fortitude.[END]"
"//Text $1B3D88
#WRITE(ptr,$19075C)
[Sign_Shield]レアクローク[END]
","//Text $1B3D88
#WRITE(ptr,$19075C)
[Sign_Shield]Rare Cloak[END]
"
"//Text $1B5880
#WRITE(ptr,$190760)
名工ギースの魂のこもった[LINE]
無二の傑作。[LINE]
きわめて希少価値が高い。[END]
","//Text $1B5880
#WRITE(ptr,$190760)
Masterpiece imbued with[LINE]
the soul of Giese.[LINE]
Extremely valuable.[END]"
"//Text $1B3D70
#WRITE(ptr,$190798)
[Sign_Shield]アンバークローク[END]
","//Text $1B3D70
#WRITE(ptr,$190798)
[Sign_Shield]Amber Cloak[END]
"
"//Text $1B3D28
#WRITE(ptr,$19079C)
琥珀の装飾が施されたクローク。[LINE]
琥珀の宝石が装備者に加護を与える。[LINE]
[END]
","//Text $1B3D28
#WRITE(ptr,$19079C)
Cloak decorated with amber. Imbues[LINE]
the wearer with the divine protection[LINE]
of amber jewels.[END]"
"//Text $1B3D10
#WRITE(ptr,$1907D4)
[Sign_Shield]ホーリィクローク[END]
","//Text $1B3D10
#WRITE(ptr,$1907D4)
[Sign_Shield]Holy Cloak[END]
"
"//Text $1B3CC0
#WRITE(ptr,$1907D8)
聖なる力に祝福されたクローク。[LINE]
身に纏うと敵が寄り付かなくなると[LINE]
言われている。[END]
","//Text $1B3CC0
#WRITE(ptr,$1907D8)
Cloak blessed by holy powers.[LINE]
Said to prevent enemies from[LINE]
approaching.[END]"
"//Text $1B3CA8
#WRITE(ptr,$190810)
[Sign_Shield]エルダークローク[END]
","//Text $1B3CA8
#WRITE(ptr,$190810)
[Sign_Shield]Elder Cloak[END]
"
"//Text $1B3C50
#WRITE(ptr,$190814)
偉大なる聖職者の名がつけられた[LINE]
クローク。彼の愛したニワトコの花で[LINE]
染められている。[END]
","//Text $1B3C50
#WRITE(ptr,$190814)
A cloak named after a grand[LINE]
priest, dyed with the flowers[LINE]
of his beloved elderberries.[END]
"
"//Text $1B3C38
#WRITE(ptr,$19084C)
[Sign_Shield]ミスティクローク[END]
","//Text $1B3C38
#WRITE(ptr,$19084C)
[Sign_Shield]Misty Cloak[END]
"
"//Text $1B3BF8
#WRITE(ptr,$190850)
原料や生成が不明なクローク。[LINE]
見る角度により色が変化する。[LINE]
[END]
","//Text $1B3BF8
#WRITE(ptr,$190850)
Cloak made by an unknown[LINE]
process and materials. Its colors [LINE]
change with viewing angle.[END]
"
"//Text $1B3BE0
#WRITE(ptr,$190888)
[Sign_Shield]ルーンクローク[END]
","//Text $1B3BE0
#WRITE(ptr,$190888)
[Sign_Shield]Rune Cloak[END]
"
"//Text $1B3B80
#WRITE(ptr,$19088C)
祝福のルーンが刺繍されたクローク。[LINE]
どんな困難でも恐れない、暖かな光を[LINE]
身に付けた者に与える。[END]
","//Text $1B3B80
#WRITE(ptr,$19088C)
Cloak embroidered with the Bless[LINE]
rune. Imbues one with the warmth[LINE]
of light to not fear hardship.[END]"
"//Text $1B3B68
#WRITE(ptr,$1908C4)
[Sign_Shield]ウィッチクローク[END]
","//Text $1B3B68
#WRITE(ptr,$1908C4)
[Sign_Shield]Witch Cloak[END]
"
"//Text $1B3B08
#WRITE(ptr,$1908C8)
位の高い術士が着るクローク。[LINE]
精神量を増加させ、練りこまれた[LINE]
呪術が敵の攻撃から身を守る。[END]
","//Text $1B3B08
#WRITE(ptr,$1908C8)
Cloak worn by high-ranking mages.[LINE]
Increases one's willpower and[LINE]
protects against enemy attacks.[END]
"
"//Text $1B3AF0
#WRITE(ptr,$190900)
[Sign_Shield]プリズムクローク[END]
","//Text $1B3AF0
#WRITE(ptr,$190900)
[Sign_Shield]Prism Cloak[END]
"
"//Text $1B3AB0
#WRITE(ptr,$190904)
虹色の光を放つクローク。[LINE]
光の屈折により敵の目を惑わす。[LINE]
[END]
","//Text $1B3AB0
#WRITE(ptr,$190904)
Cloak that breaks light into the[LINE]
colors of the rainbow. Bewilders[LINE]
enemies with its refracted light.[END]
"
"//Text $1B3A98
#WRITE(ptr,$19093C)
[Sign_Shield]グリムクローク[END]
","//Text $1B3A98
#WRITE(ptr,$19093C)
[Sign_Shield]Grimm Cloak[END]
"
"//Text $1B3A40
#WRITE(ptr,$190940)
伝説に登場する幻想の力を秘めた[LINE]
クローク。口伝を書物にまとめた[LINE]
兄弟の名を冠する。[END]
","//Text $1B3A40
#WRITE(ptr,$190940)
Cloak imbued with the hidden power of[LINE]
fantasies. Named after the brothers[LINE]
who collected oral traditions into a book.[END]
"
"//Text $1B3A30
#WRITE(ptr,$190978)
[Sign_Shield]ラバーブル[END]
","//Text $1B3A30
#WRITE(ptr,$190978)
[Sign_Shield]Lovable[END]
"
"//Text $1B39E0
#WRITE(ptr,$19097C)
愛らしいデザインのクローク。[LINE]
その愛らしさは、[LINE]
攻撃の手が緩んでしまうほど。[END]
","//Text $1B39E0
#WRITE(ptr,$19097C)
Cloak with a lovely design.[LINE]
Its beauty lowers enemies'[LINE]
guards.[END]"
"//Text $1B39D0
#WRITE(ptr,$1909B4)
[Sign_Shield]チュニック[END]
","//Text $1B39D0
#WRITE(ptr,$1909B4)
[Sign_Shield]Tunic[END]
"
"//Text $1B3970
#WRITE(ptr,$1909B8)
上質な生地でしつらえたクローク。[LINE]
ストレイライズ聖職者の祭服。[LINE]
アタモニ神の加護を受ける。[END]
","//Text $1B3970
#WRITE(ptr,$1909B8)
A Cloak made of fine cloth.[LINE]
Vestment of the Straylize[LINE]
clergy. Blessed by Atamoni.[END]"
"//Text $1B3958
#WRITE(ptr,$1909F0)
[Sign_Shield]ミディブラウス[END]
","//Text $1B3958
#WRITE(ptr,$1909F0)
[Sign_Shield]Middy Blouse[END]
"
"//Text $1B3920
#WRITE(ptr,$1909F4)
船乗りの服をアレンジしたクローク。[LINE]
マニアが多い。[LINE]
[END]
","//Text $1B3920
#WRITE(ptr,$1909F4)
Cloak adapted for[LINE]
sailors. Sought after[LINE]
by enthusiasts.[END]"
"//Text $1B3908
#WRITE(ptr,$190A2C)
[Sign_Shield]ボディスーツ[END]
","//Text $1B3908
#WRITE(ptr,$190A2C)
[Sign_Shield]Body Suit[END]
"
"//Text $1B38A0
#WRITE(ptr,$190A30)
上下ひと続きにしたクローク。[LINE]
肌に密着し、動作の邪魔にならない。[LINE]
女性のボディラインを美しく見せる。[END]
","//Text $1B38A0
#WRITE(ptr,$190A30)
Full body cloak. Sticks to the skin,[LINE]
easy to move in. Emphasizes the[LINE]
beauty of the female figure.[END]"
"//Text $1B3888
#WRITE(ptr,$190A68)
[Sign_Shield]ウインドブレーカー[END]
","//Text $1B3888
#WRITE(ptr,$190A68)
[Sign_Shield]Wind Breaker[END]
"
"//Text $1B3848
#WRITE(ptr,$190A6C)
防風、防寒のためのクローク。[LINE]
寒い日でもかさばらずに暖かい。[LINE]
[END]
","//Text $1B3848
#WRITE(ptr,$190A6C)
Cloak that protects[LINE]
against cold and wind.[LINE]
Warmth for cold days.[END]"
"//Text $1B3830
#WRITE(ptr,$190AA4)
[Sign_Shield]アンステイブル[END]
","//Text $1B3830
#WRITE(ptr,$190AA4)
[Sign_Shield]Unstable[END]
"
"//Text $1B37E8
#WRITE(ptr,$190AA8)
動きやすさに特化したクローク。[LINE]
身に付けた者の身体能力を向上する。[LINE]
[END]
","//Text $1B37E8
#WRITE(ptr,$190AA8)
Cloak made for ease of[LINE]
movement. Heightens the[LINE]
wearers physical abilities.[END]"
"//Text $1B37D0
#WRITE(ptr,$190AE0)
[Sign_Shield]ヘヴンリーガーブ[END]
","//Text $1B37D0
#WRITE(ptr,$190AE0)
[Sign_Shield]Heavenly Garb[END]
"
"//Text $1B3780
#WRITE(ptr,$190AE4)
天国の名を冠する神秘のクローク。[LINE]
楽園に住まう者達の服。[LINE]
全ての痛みを緩和する。[END]
","//Text $1B3780
#WRITE(ptr,$190AE4)
Cloak named after the Heavens.[LINE]
Worn by those living in Paradise.[LINE]
Eases all pains.[END]"
"//Text $1B3768
#WRITE(ptr,$190B1C)
[Sign_Shield]ネージアクローク[END]
","//Text $1B3768
#WRITE(ptr,$190B1C)
[Sign_Shield]Nadir Cloak[END]
"
"//Text $1B3708
#WRITE(ptr,$190B20)
「奈落」を意味するクローク。[LINE]
全てを最果てへと導く誘い手となる。[LINE]
選ばれた者のみが手にできる。[END]
","//Text $1B3708
#WRITE(ptr,$190B20)
Cloak that carries the meaning of[LINE]
""Hell"". Guides all to its end. Can only[LINE]
be acquired by the chosen ones.[END]"
"//Text $1B36F0
#WRITE(ptr,$190B58)
[Sign_Shield]ホワイトローブ[END]
","//Text $1B36F0
#WRITE(ptr,$190B58)
[Sign_Shield]White Robe[END]
"
"//Text $1B36B0
#WRITE(ptr,$190B5C)
白い布地であしらえたローブ。[LINE]
清楚なスタイルで街娘にも人気。[LINE]
[END]
","//Text $1B36B0
#WRITE(ptr,$190B5C)
Robe decorated with white cloth.[LINE]
Its tidy style is popular with city[LINE]
girls.[END]"
"//Text $1B3698
#WRITE(ptr,$190B94)
[Sign_Shield]フェザーローブ[END]
","//Text $1B3698
#WRITE(ptr,$190B94)
[Sign_Shield]Feather Robe[END]
"
"//Text $1B3660
#WRITE(ptr,$190B98)
水鳥の羽毛で縫製されたローブ。[LINE]
羽のように軽い。[LINE]
[END]
","//Text $1B3660
#WRITE(ptr,$190B98)
Robe sewn with the feathers of[LINE]
a waterfowl. Light as a feather.[LINE]
[END]

"
"//Text $1B3648
#WRITE(ptr,$190BD0)
[Sign_Shield]ブラックローブ[END]
","//Text $1B3648
#WRITE(ptr,$190BD0)
[Sign_Shield]Black Robe[END]
"
"//Text $1B3608
#WRITE(ptr,$190BD4)
黒い布地であしらえたローブ。[LINE]
夜遊びする街娘にも人気な一品。[LINE]
[END]
","//Text $1B3608
#WRITE(ptr,$190BD4)
Robe decorated with black[LINE]
cloth. Popular with partying[LINE]
city girls.[END]"
"//Text $1B35F0
#WRITE(ptr,$190C0C)
[Sign_Shield]シルクローブ[END]
","//Text $1B35F0
#WRITE(ptr,$190C0C)
[Sign_Shield]Silk Robe[END]
"
"//Text $1B35A8
#WRITE(ptr,$190C10)
絹で縫製されたローブ。[LINE]
光沢が美しく、滑らかな肌触りで[LINE]
着心地も良い。[END]
","//Text $1B35A8
#WRITE(ptr,$190C10)
Robe sewn with silk. It[LINE]
has a pretty luster and[LINE]
feels nice to the touch.[END]"
"//Text $1B3590
#WRITE(ptr,$190C48)
[Sign_Shield]シルバーローブ[END]
","//Text $1B3590
#WRITE(ptr,$190C48)
[Sign_Shield]Silver Robe[END]
"
"//Text $1B3560
#WRITE(ptr,$190C4C)
銀細工で装飾されたローブ。[LINE]
白い輝きが美しい。[LINE]
[END]
","//Text $1B3560
#WRITE(ptr,$190C4C)
Robe decorated with silver. Has[LINE]
a beautiful white brilliance.[LINE]
[END]"
"//Text $1B3548
#WRITE(ptr,$190C84)
[Sign_Shield]ゴールドローブ[END]
","//Text $1B3548
#WRITE(ptr,$190C84)
[Sign_Shield]Gold Robe[END]
"
"//Text $1B3510
#WRITE(ptr,$190C88)
金細工で装飾されたローブ。[LINE]
別名「豪華なローブ」。[LINE]
[END]
","//Text $1B3510
#WRITE(ptr,$190C88)
Robe decorated with gold. Also[LINE]
known as the ""Opulent Robe"".[LINE]
[END]"
"//Text $1B34F8
#WRITE(ptr,$190CC0)
[Sign_Shield]ミスリルローブ[END]
","//Text $1B34F8
#WRITE(ptr,$190CC0)
[Sign_Shield]Mithril Robe[END]
"
"//Text $1B34B0
#WRITE(ptr,$190CC4)
ミスリル細工装飾されたローブ。[LINE]
ドワーフ族の芸術作品といわれる。[LINE]
[END]
","//Text $1B34B0
#WRITE(ptr,$190CC4)
Robe decorated with[LINE]
Mithril. Considered to be[LINE]
a Dwarven work of art.[END]"
"//Text $1B3498
#WRITE(ptr,$190CFC)
[Sign_Shield]メイジローブ[END]
","//Text $1B3498
#WRITE(ptr,$190CFC)
[Sign_Shield]Mage Robe[END]
"
